legend_id,source_id,name,strat_name,age,dec,comments,lith_class
65040,140,Silurian-Devonian sedimentary rocks,,Llandovery-Lochkovian,"Pissarres negres riques en pirita, i nivells de calcària. Silurià - Devonià inferior English: Black slate rich in pyrite, and limestone levels. Silurian - Lower Devonian",,"{metamorphic,sedimentary}"
77265,133,Alligator Back Formation - Banded marble,Alligator Back Formation,Neoproterozoic - Cambrian,"Light- and dark-gray, laminated fine to medium-grained marble, calcareous gneiss, and schist. Mineralogy: calcite + quartz + biotite + muscovite + plagioclase + pyrite + magnetite-ilmenite. Thick to thin beds of marble are interlayered with graphitic phyllite and mica schist; the lithology grades from impure marble to calcareous metagraywacke depending on per cent age of detrital calcite present. The unit includes the Arch Marble of Brown (1958) and the Archer Creek Formation of Espenshade (1954).","Lynchburg Group; Blue Ridge Anticlinorium (Southwest) Original map source: Virginia Division of Mineral Resources, 2003, Digital Representation of the 1993 Geologic Map of Virginia, Publication 174, CD ROM (ISO-9660) contains image file, expanded explanation in pdf, and ESRI shapefiles, scale 1:500,000.",{metamorphic}
77236,133,Albee Formation,Albee Formation,Middle Cambrian - Tremadocian,"Light-gray to greenish-gray, white-weathering, fine-grained feldspathic metasandstone and metasiltstone, and light-gray to greenish-gray to dark-gray phyllite. Lesser amounts of quartzite. Rare calc-silicate nodules. Generally sharply bedded, but graded beds as well as slump structures are locally obvious. Tourmaline is a sporadic accessory mineral. May be sulfidic (either pyrite or pyrrhotite) and rusty weathering. “Pinstriping” is common. U-Pb zircon SHRIMP age of 492.5±7.8 Ma from a porphyritic tonalite sill about 2 km east of West Bath, N.H. (D.W. Rankin, USGS, unpub. data, 2011).  Stratified rocks of the Bronson Hill arch and Sawyer Mountain belt.","Original map source: Ratcliffe, N.M., Stanley, R.S., Gale., M.H., Thompson, P.J., and Walsh, G.J., 2011, Bedrock geologic map of Vermont: U.S. Geological Survey Scientific Investigations Map 3184, 3 sheets, scale 1:100,000.",{metamorphic}
82716,133,Silurian Ames Knob formation,Knob Formation,Silurian,"The Vassalboro formation is typically a massive, bluish-gray sandstone. Locally it is quartzite; shaly layers have been altered to pyritiferous mica schists. Contains numerous calcareous beds. Increase in the intensity of metamorphism of the Vassalboro formation produced the lime-silicate gneiss of the Androscoggin formation. The Androscoggin of the Tacoma Lakes area was identified by Perkins and Smith (1925) as the Vassalboro. Due to its varying lithologies, the Vassalboro is revised to the Vassalboro formation.  (ME061). Unit description from USGS GEOLEX website (ME078).  GS - Greenschist facies; E - Epidote-amphibolite facies; AA - Low rank amphibolite facies; AB - Medium rank amphibolite facies; AC - High rank amphibolite facies; Protolith M - Calcareous sandstone; interbedded sandstone and impure limestone","Original map source: Digital bedrock data downloaded from Maine Office of GIS in September 2005; permission to redistribute these data granted by Dr. Robert Marvinney, State Geologist of Maine, in September 2006.  Based on 1985 paper geologic map (Reference ME002).",{sedimentary}
30360,21,"Sitka Graywacke, undivided",Sitka Graywacke,Cretaceous,"Dark gray semischistose mudstone, pelitic phyllite, and muscovite schist that locally contain biotite, almandine garnet, andalusite,  sillimanite, and pyrite. The protolith is dominantly mudstone,  subordinate thin sandstone layers are locally preserved and have relict turbidite bedding structures, slump structures, and soft sediment deformational features.  At Mount Muravief, the protolith is mlange that consists of blocks of greenstone, volcanic wacke, and chert in a mudstone matrix.  Along strike in Whale Bay the pelitic semischist includes metagraywacke layers, and along strike in Necker Bay, it contains lenses of limestone up to 2 meters thick. The pelitic semischist may represent a mudstone-rich facies of the Sitka Graywacke that contains olistostromal blocks of volcanic rocks and limestone. These rocks may correspond to argillite that contains lenses of chert with Jurassic? radiolarians (map locality F7, table 3) and  limestone in the Sitka Graywacke in Sitka Sound.  The pelitic semischist may represent toe of slope deposits within the Sitka Graywacke, or may represent out-of-sequence thrust panels of the mlange facies of the accretionary complex, and may correlate with the Khaz Complex (KJkk). At Mt. Muravief, the pelitic unit has a pervasive fabric, and has a sharp, steep, fault contact with the graywacke semischist unit. The pelitic semischist is tightly folded, locally rodded, highly strained, and sandstone and chert beds are extended into strings of boudins.  Early quartz veins that cut the unit are folded and boudinaged; late quartz veins fill tension gashes and are locally offset on steep sinistral faults.",,{metamorphic}
33125,22,Alluvium,,Quaternary,"Clay, silt, sand, and gravel: Clay, light olive gray to medium-gray and medium brown to dark brownish gray, slightly silty, commonly contains calcareous pellets.  Silt, light yellowish-brown, clayey, and locally finely sandy.  Sand, white to light-yellowish-brown; grains are dominantly clear quartz but some are shale, coal, and pyrite; mainly very fine but some coarse, subangular to subrounded; intermixed with gravel in lower part.  Gravel, as granules and subangular pebbles as much as 30 mm long mainly of light  to medium yellowish brown chert but also clasts of fossils, coal, ironstone, and sandstone.  Clay and silt were deposited during Wisconsin Glaciation in ancient Green Lake (Shaw, 1911) that occupied parts of valleys of the present day Green River drainage system.  Description from logs of test holes.",Qal; Beech Grove Quadrangle (GQ-1230) | http://kgs.uky.edu/kgsweb/PubsSearching/MoreInfo.asp?titleInput=340 | Map description and column: http://kgs.uky.edu/kgsmap/kgsgeoserver/geolDescID.asp?idType=pointID&fmcode=111ALVM&gq_num=1230&map_level=24K,{sedimentary}
83036,133,Talladega Group; Lay Dam Formation,Lay Dam Formation,Silurian - Devonian,"Interbedded dark-green phyllite, medium-gray to light-brown and black metasiltstone, dark-green feldspathic metagraywacke, and light-gray and dark-gray medium to coarse-grained arkosic quartzite and metaconglomerate; graphitic phyllite common in upper part.  In Cleburne and Calhoun Counties, rocks mapped as the Lay Dam include the Abel Gap Formation of Bearce (1973) and consist of interbedded greenish-gray metasiltstone and quartzite, black phyllitic metasiltstone, medium-gray to greenish-gray arkosic quartzite, and dark-gray pyritic quartzite.  In Clay Chounty the upper part of the Lay Dam includes black graphitic sericite phyllite and slate reportedly containing plant fossils (Erin Slate Member).","Printed map has units 'tld' and 'tldd' in one description, split them up here.   Secondary unit description from USGS Geologic Names lexicon (ref. AL002:  Lay Dam Formation of Talladega Group consists of polymictic greenish-gray thick and irregularly bedded metaclastics (graywacke, siltstone, sandstone, and arkose). May include thin zones of chlorite schist, graphite slate and bluish-gray to grayish-orange silty limestone. Contains quartzite beds and a conglomeratic facies of bouldery metagraywacke with clasts up to 3 ft in diameter in Coosa and Chilton Cos. In Cleburne and Calhoun Cos, the Lay Dam includes rocks previously assigned to the Abel Gap Formation of Bearce (1973), which consist of interbedded greenish-gray metasiltstone and quartzite, black phyllitic metasiltstone, medium-gray to greenish-gray arkosic quartzite, and dark-gray pyritic quartzite. Includes three members: the Miller Mill Quartzite Member, the Erin Slate Member and the Cheaha Quartzite Member. A significant regional angular unconformity is present at the base of the Lay Dam. Age is Silurian(?) to Devonian(?). Original map source: Geological Survey of Alabama, 2006, GSA Special Map Series 220A, scale 1:250,000.",{metamorphic}
52784,85,"Bird Spring Formation, upper member",Bird Spring Formation,Leonardian and uppermost Wolfcampian,"Upper part of member mostly Leonardian in age and about 900m thick; consists of cyclic thin- to thick- bedded limestone, silty limestone, and dolostone that contain layers and nodules of dusky-yellowish-brown chert as well as beds of calcareous siltstone and brown-weathering sandstone. Fossils include brachiopods, bryozoans, corals, fusulinids, gastropods, and pelmatozoan fragments. Very latest Wolfcampian conodonts, including Sweetognathus whitei, are in base of upper part (Harris and others, in press), but are succeeded by Leonardian fusulinids such as Schwagerina crassitextoria in Lee Canyon area (Rich, 1961). Ho (1990) reported even younger Leonardian fusulinids, such as Parafusulina apiculata, in the Lee Canyon area. Lower part of member forms regional marker within the thick Bird Spring Formation, and it was described by Rich (1961, 1963) and Page (1992, 1993, 1998). Consists mainly of alternating thinly laminated beds of limestone, silty limestone, mudstone, calcareous siltstone, and chert. Limestone and mudstone are dark gray to olive gray; rocks are organic rich and locally pyritic. Silty limestone and calcareous siltstone laminae weather yellowish gray to moderate brown. Some beds are turbiditic and convolutedly bedded. Macrofossils are generally sparse and include brachiopods, echinoderms, ichthyoliths, and trilobites; microfossils are more common including locally abundant sponge spicules, less abundant conodonts, and poorly preserved radiolarians. Marker unit contains submarine debris-flow conglomerate in channels and sheets. Clasts in conglomerate are bioclastic and contain shallow-water forms such as corals, fusulinids, and pelmatozoan fragments. Phosphatic concretions 0.5-4 cm in diameter locally present at base of marker unit in Lucky Strike Canyon area and southernmost Las Vegas Range; concretions commonly cored by fish fragments. Marker unit thickens west-northwestward in southern Las Vegas Range, from 350 m to 600 m (Lundstrom and others, 1998). Rich (1963) reported the marker unit to be 666 m thick in Lee Canyon area. Total maximum thickness of upper member is about 1,500 m",,{sedimentary}
77530,133,"Barnett Formation, Chappel Limestone, Houy, Zesch, Bear Spring, and Stribling Formations, and Pillar Bluff Limestone, undivided",Barnett Formation; Chappel Limestone; Houy Formation; Zesch Formation; Bear Spring Formation; Stribling Formation; Pillar Bluff Limestone,Devonian - Mississippian,"Description from Llano Sheet (1981) and Brownwood Sheet (1976), Geologic Atlas of Texas, from oldest to youngest, Pillar Bluff Limestone (Lower Devonina), upper part a coquinite of brachiopods, in fine- to coarse-grained matrix, yellowish-gray to ivory-colored, resting on fine- to very fine grained ls., gray, dull-yellow, or grayish-olive , sl. dolomitic, contains phosphatic granules, quartz, glauconite, and a few conodonts; occurs in small patches in an area of about 50 sq.ft., near Pillar Bluff Creek 5 mi SW of Lampasas.  Stribling Formation (Middle to Lower Devonian)in area of type section chiefly limestone and chert, ls. microgranular, smooth fracturing, irregularly bedded, basal inch or two sandy, medium-gray to grayish-yellow, sl. fossiliferous; chert mostly along beds and in cross-cutting masses, may be absent for a few ft along strike; thickness 11 ft in type section. In Burnet County, in part dolomite, v. fine grained, chert similar to that in type area; patchy occurrence, thickness probably in no place over 20 ft.  Bear Spring Fm.--granular, brownish- to grayish-yellow fossiliferous ls., cherty ls., and white to cream, fine- to coarse-grained ls., in part fossilif.; several tens of feet present in a collapse structure, present under Zech Fm. (lower Middle Devonian).  Zesch Fm.--thin, highly siliceous ls., and leached silica rock, containsangular fragments of chert, brownish to yellowish, appears to greade upward to Ives Breccia, up to 2 ft thick; only positive ident. outcrop is in BearSpring area SW of Mason (Upper? Devonian).  Houy Fm.--upper member, thin, brown phosphorite containing bone frags. locally in eastern part of Llano area; middle member Doublehorn Shale, black, fissil, pyritiferous, spore-bearing contined to eastern area; lower unit Ives Breccia, coarse angular chert breccia and fractured chert, with siliceous and some calcareous and phosphatic matrix, widely spread; all members, none, or any mbr. or combination of mbers may be present in any one place (mostly Upper Devonian, some highest Middle? Devonian, locally tothe west the transgressive Ives Breccia is Mississippian). Chappel Limestone. inequigranular with scattered pelmatozoan columnals, gray to brownish gray to east becoming coarser and pink to west (in Brownwood Sheet of Geo. Atlas of Texas), seldom more than a foot or two thick except in sinks where 20 ft or so may be trapped, absent in many places (Mississippian). Barnett Formation  mostly shale, petroliferous, locally asphaltic, phosphatic beds contain sm. amt. uranium, dk. brown to blk., gen. recessive slope at foot of Marble Falls scarp, poorly exposed; some ls., includes thin beds of brachiopod-goniatite conquinite and thin beds and concretions up to 9 ft in diam. of microgranular ls., dk. brownish gray weathers brn., petrolif. odor when freshly broken, free oil occas. in interior cracks of concretions, goniatites common; thickness up to 40 ft,thins westward, locally absent or too thin to map (Mississippian).","Original map source: Stoeser, Douglas B., Shock, Nancy, Green, Gregory N., Dumonceaux, Gayle M., and Heran, William D., 2005, Geologic Map Database of Texas, USGS, DS 170, scale 1:500,000.",{sedimentary}
77437,133,Arvonia Formation - Slate and porphyroblastic schist,Arvonia Formation,Ordovician,"Dominantly dark gray to grayish-black, lustrous, very-fine-grained, graphitic slate (northeastern sector); and, medium-grained, porphyroblastic garnetiferous biotite schist (southwestern sector). Discontinuous beds of quartzose muscovite schist, coarse grained to pebbly micaceous quartzite, and conglomeratic schist occur along the margins of the outcrop belt, stratigraphically at the base of the section. Interbeds of dacite metatuff occur in the western portion of the slate outcrop belt. Graded laminated metasiltstone and metasandstone are interbedded with slate in the central and eastern portions of the outcrop belt at the latitude of the James River (Evans and Marr, 1988); these rocks pass into porphyroblastic schists at higher metamorphic grades to the southwest. A distinctive garnet-amphibole-quartz interbed occurs within porphyroblastic schist south of the James River (volcanogenic marker?; Brown, 1969); north of the river, this passes down metamoprphic grade into what is described as an oolitic chlorite schist (Smith and others, 1964). Mineralogy: (slate) chlorite + mus co vite + plagioclase + quartz + magnetite ± biotite ± calcite ± graphite ± pyrite; (porphyroblastic schist) biotite + muscovite + garnet + quartz + plagioclase + magnetite ± kyanite ± calcite; tourmaline and zircon are common accessories. Geophysical signature: The Arvonia is marked by positive magnetic and radiometric anomalies. Originally referred to as the slate in the Arvonia belt by Rogers (1884), the unit was named Arvonia slate by Stose and Stose (1948), and raised to formation status by Brown (1969). An Upper Ordovician age for the Arvonia has been established from fossils collected by Watson and Powell (1911), Stose and Stose (1948), Tillman (1970), and Kolata and Pavlides (1986). The Arvonia has long been considered unconformable on top of adjacent units. Micaceous quartzite, pebbly mus covite schist, and conglomeratic schist are common at the base of the section where that boundary is not faulted (Stose and Stose, 1948; Smith and others, 1964; Brown, 1969; Evans and Marr, 1988). The base of the Arvonia is exposed in an old railroad cut near Carysbrook, Fluvanna County (Smith and others, 1964); there, a micaceous quartzite containing quartz pebbles rests on granite of the Carysbrook pluton. The Stoses (1948) considered the Arvonia a sequence deposited on a post-Taconic-orogeny regional unconformity, and folded and metamorphosed during subsequent orogenies; that interpretation is consistent with geologic constraints as we know them today. The Arvonia is correlated with the Quantico Formation. History of the Arvonia district slate industry is discussed by Brown (1969) and Evans and Marr (1988).","Central Virginia Volcanic-Plutonic Belt Original map source: Virginia Division of Mineral Resources, 2003, Digital Representation of the 1993 Geologic Map of Virginia, Publication 174, CD ROM (ISO-9660) contains image file, expanded explanation in pdf, and ESRI shapefiles, scale 1:500,000.",{metamorphic}
81803,133,Petersburg Granite,Petersburg Granite,Mississippian,"Light- to dark-gray to pink, fine- to coarse-grained, equigranular to porphyritic, foliated to nonfoliated, ranges from granite to granodiorite in composition; multiple intrusive phases are present. The granite contains xenoliths of biotite gneiss and amphibolite. Mineralogy: quartz + sodic plagioclase + potassium feldspar + biotite ± hornblende; accessory minerals include ilmenite, magnetite, pyrite, zircon, apatite, titanite, muscovite, and fluorite (Goodwin, 1970; Daniels and Onuschak, 1974; Wright and others, 1975). Current mapping restricts the Petersburg Granite to a contiguous unit that crops out in the Cities of Richmond and Petersburg; this roughly corresponds to one of four discrete plutons mapped as Petersburg Granite on the 1963 Geologic Map of Virginia. Samples from within this pluton were dated at 330±8 Ma (U-Pb zircon; Wright, and others, 1975). The northwestern edge of the pluton is mylonitized along the Hylas fault zone (Bobyarchick and Glover, 1979).","Southeastern Piedmont Original map source: Virginia Division of Mineral Resources, 2003, Digital Representation of the 1993 Geologic Map of Virginia, Publication 174, CD ROM (ISO-9660) contains image file, expanded explanation in pdf, and ESRI shapefiles, scale 1:500,000.",{igneous}
51670,69,Waterfall Formation,Waterfall Formation,Jurassic,"Sandstone, siltstone, shale, and conglomerate, interbedded, in at least ten cyclic lacustrine turbidite sequences, each 40 to 150 m (150 to 500 ft) thick.  Sandstone, very fine to very coarse grained, of three types: 1) light bluish-gray, quartzose, calcareous, wavy bedded and ripple bedded in farily well sorted, graded, stacked beds with rare dinosaur tracks and dessication cracks; 2) grayish-red, pebbly, feldspathic, planar bedded and festoon crossbedded, with locally abundant coarse plant fossils; 3) light-to dark-gray, thin-bedded, quartzose, calcareous, massive or graded beds with scoured bases, flame structures, flute casts, and coarse fossil debris concentrated at base of individual beds.  Siltstone and shale of two types: 1) medium- to dark-gray, calcareous, with minor impure limestone, laminated, pyritic, carbonaceous, fossiliferous (fossil fish, conchostracans, ostracodes, coprolites, spores and pollen); 2) grayish-red to reddish-brown, sandy, calcareous, with calcite-filled vugs (caliche?), hematitic, micaceous, wavy or planar laminated except where bioturbated (roots and burrows), dessication cracks, minor interbeds of arkosic sandstone.  Conglomerate (Jwc, shown by dashed lines), gray to red, lenticular, matrix- and clast-supported, rounded pebbles, cobbles, and boulders of quartzite, basalt, and vein quartz in horizontally stratified graded layers in a calcareous, fine- to coarse-grained sandstone matrix.  The thickness of the Waterfall Formation east of Thoroughfare Gap is estimated at greater than 1000 m (3280 ft), but in the Opal core hole only the lower 77 m (254 ft) are preserved.  Presumably then, the upper part was eroded or less likely not deposited",,{sedimentary}
38628,22,Ste. Gevevieve Limestone,Ste. Gevevieve Limestone,Mississippian,"Limestone, white- to very light gray, fine- to very coarse grained, commonly oolitic, coarsely fossil fragmental, and strongly crossbedded.  Uppermost bed of clastic oolitic limestone is commonly shattered and forms a breccia consisting of slightly rotated fragments recemented by calcite and locally contains abundant cubes of pseudomorphous hematite after pyrite.  A persistent 2- to 5-foot-thick layer of greenish-gray calcareous shale occurs about 5 to 10 feet below top of unit. Base not exposed.",Msg; Pembroke Quadrangle (GQ-709) | http://kgs.uky.edu/kgsweb/PubsSearching/MoreInfo.asp?titleInput=813 | Map description and column: http://kgs.uky.edu/kgsmap/kgsgeoserver/geolDescID.asp?idType=pointID&fmcode=333SGVV&gq_num=709&map_level=24K,{sedimentary}
34076,22,Bedford Shale,Bedford Shale,Devonian | Upper Devonian,"Shale and siltstone: Shale, varying shades of grayish-yellow and greenish-gray, thin-bedded; interbedded with siltstone. Siltstone, medium-gray, thin-bedded; oscillation ripple marks common; animal trails and borings common; pyrite common as crystal aggregates and disseminated specks and masses. Formation thins westward.",Dbd; Buena Vista Quadrangle (GQ-525) | http://kgs.uky.edu/kgsweb/PubsSearching/MoreInfo.asp?titleInput=729 | Map description and column: http://kgs.uky.edu/kgsmap/kgsgeoserver/geolDescID.asp?idType=pointID&fmcode=341BDFD&gq_num=525&map_level=24K,{sedimentary}
33517,22,Alluvium,,Quaternary,"Silt, clay, sand, and gravel, intermixed and interlensing.  Silt, light-yellowish-brown and light-olive-gray, clayey to finely sandy, calcareous in lower part.  Clay, light-olive-gray to brown, silty.  Silt and clay may be in part of lacustrine origin in lower valleys of large streams.  Sand, light-brown to moderate-yellowish-brown, very fine to coarse, well to poorly sorted; consists mainly of subrounded to rounded quartz grains.  Gravel, medium-brown to gray, granules and pebbles of iron-stained sandstone, quartz, coal, black shale and small amounts of pyrite.  Unit includes slope wash along valley sides and at heads of tributary streams.  Forms distinct terrace surface at altitudes of 380 to 395 feet along Green River that is similar to surface described by Ray in Owensboro area (1965, p. 35-38).  Thickness and lithology based on drill-hole",Qal; Robards Quadrangle (GQ-1084) | http://kgs.uky.edu/kgsweb/PubsSearching/MoreInfo.asp?titleInput=275 | Map description and column: http://kgs.uky.edu/kgsmap/kgsgeoserver/geolDescID.asp?idType=pointID&fmcode=111ALVM&gq_num=1084&map_level=24K,{sedimentary}
39278,22,Tyrone Limestone,Tyrone Limestone,Middle Ordovician,"Limestone, light-gray to light-yellowish- and brownish-gray, cryptograined, thin- to thick-bedded, contains small pods of calcite and chert, sparsely fossiliferous. Mudcracks and ripple marks occur locally in upper part. Bentonite bed 0.5 to 0.8 foot thick locally present from 0.5 to 5.0 feet below contact; in places, more than one bentonite bed has been observed. Minor disseminated pyrite is found locally in tiny fracture fillings in uppermost part. \nEconomic (limestone): The most important mineral resource in the quadrangle is limestone.  Tyrone Limestone is quarried nearly 0.5 mile north of Interstate 64 on the east side of the Kentucky River and at the east side of the abandoned meander surrounding Fort Hill.  The quarry at the south side of Fort Hill and one on the west side of the Kentucky River near the Franklin-Woodford County line were inactive at the time of mapping.  Crushed stone is used for concrete and road aggregate and as agricultural lime. Tyrone Limestone has been used in the past as a building stone.",Ot; Frankfort East Quadrangle (GQ-707) | http://kgs.uky.edu/kgsweb/PubsSearching/MoreInfo.asp?titleInput=811 | Map description and column: http://kgs.uky.edu/kgsmap/kgsgeoserver/geolDescID.asp?idType=pointID&fmcode=365TYRN&gq_num=707&map_level=24K,{sedimentary}
27794,21,"Heterogeneous metamorphic rocks, southeast Alaska",,Silurian and Ordovician,"Includes metasedimentary and metavolcanic rocks north of the Klehini River.  containing black argillite, thin-bedded black chert, thin-bedded black limestone, brown calcareous and carbonaceous wacke sandstone, graywacke, and dull green pillow basalt.  The chert, argillite, and limestone contain radiolarians.  Graywacke clasts include mainly chert, with subordinate limestone, sandstone, argillite, and volcanic rock fragments.  Pillow basalts have interbeds of argillite and graygreen tuffaceous siltstone. On southern Prince of Wales and Dall Islands, includes a basal conglomerate that unconformably overlies Wales Group rocks and contains metamorphosed clasts of Wales Group. Conglomerate is overlain by mudstone and siltstone turbidites with lenses of volcanic breccia, andesite breccia, thick sections of pillow basalt, felsic  pyroclastic deposits, flow-banded rhyolite, and felsic domes, minor limestone,  and black, graptolitic chert and argillite.  On Portland Peninsula and Annette and Duke Islands, includes metamorphosed (a) mafic, intermediate, and subordinate felsic volcanic and volcaniclastic rocks, (b) clastic and carbonate sedimentary rocks, and (c) subordinate intermediate and mafic intrusive rocks. Extrusive protoliths include basaltic tuff, agglomerate, and pillow flows and intermediate and felsic tuff (at least partly spilite and keratophyre); sedimentary protoliths include argillite, graywacke-siltstone, limestone, conglomerate, and, in the matrix of some of the pillow flows, red chert.  On Gravina Island (Berg, 1973) includes massive to locally schistose metavolcanic and metasedimentary rocks retain primary sedimentary textures.  Pillow basalt and volcanic breccia, greenstone, greenschist, phyllite, marble, and metadioritic rocks.  Greenschist facies metamorphic mineral assemblages include quartz, albite, k-feldspar, chlorite, colorless amphibole pseudomorphing pyroxene, sericite, epidote-clinozoisite, calcite, dolomite, prehnite, magnetite, and pyrite.  Hydrothermally altered and cut by fissure veins containing dolomite, calcite, quartz, barite, hematite, and sulfide minerals. (Unnamed, will be Moira Group, undivided, on Prince of Wales map).  Argillite contains Ordovician graptolites (Karl and others, 2013c)  On Portland Peninsula and Duke Island, U/Pb zircon ages of 404 to 456 Ma  are inferred crystallization ages for the meta-diorite and meta- quartz diorite that intrude these metasedimentary and metavolcanic rocks. (Gehrels and others, 1987; Saleeby, 1992).  Correlates in age but not lithology with rocks on the east flank of Sullivan Mountain that yielded concordant U/Pb zircon ages of 485-500 Ma and rocks in Funter Bay on Admiralty Island that yielded a zircon age of  430 Ma (Richard Friedman, University of British Columbia, written commun., 2004).  Sullivan Mt and Funter Bay rocks are garnet-bearing quartzo-feldspathic schists. Correlates with the Hood Bay Formation on Admiralty Island",,{sedimentary}
