concept_id,name,age,usage_notes,descrip,province,url,ref_id
17326,Buldah Gap Granodiorite,Early Devonian,"Formal; Other new published name; Briefly described; Age and lithology updated from GSV data (HG, Dec 2005). GSV Code: G22.  Within the Glenbog Supersuite.","Dark grey, medium to coarse grained, hornblende-biotite granodiorite, mostly massive; extensive pyritic marginal phase porphyritic in quartz and feldspar; equigranular interior with prominent quartz and rare pyroxene",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=2847,22
17371,Burgoon,Pridoli,Formal; Unknown or process pending; Defined; Includes the Yarran Cherts. Intruded by Gumble Granite.,"Pyritic, lithic and feldspathic tuffs interbedded with cherts.; 630.00 m thick",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=3066,22
17623,Collett Siltstone,Mesoproterozoic,Formal; Unknown or process pending; Described; In the Crowhurst Basin.,"Purple and green fissile laminated siltstone with minor white and purple silty dolomite interbeds, lenses and nodules; white sandy dolomite and dolomitic sandstone, purple siltstone and dolomitic siltstone, and green pyritic cherty siltstone",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=4341,22
18171,Flamingo,Jurassic - Early Cretaceous,Formal; Resvd name published; Fully described; Reserved as Flamingo Shale Member. Age from Arafura Basin data.,"Shale, siltstone, sandstone, sandy limestone, glauconitic sandstone, pyritic sandstone.; 1230.00 m thick",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=6726,22
18246,Gearle Siltstone,Albian - Cenomanian,"Formal; Variation of published name; Defined; Defined by Bastian & Willmott (1965a). See also Lexicon. See many variations of Gearle, including Upper Gearle Siltstone and Lower Gearle Siltstone.",Dark-grey to black pyritic mudstone and siltstone.; 346.00 m thick,{SA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=7072,22
18314,Glencoe,Permian - Sakmarian,Formal; Other new published name; Described; Invalid name.  Glencoe Limestone used in Vic.,Pyritic and carbonaceous mudstone with a few pebbles; Tasmanite oil shale. Fossils abundant.; 27.15 m thick,,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=7369,22
18452,Gurrumba Volcanics,Late Carboniferous - Permian,Formal; Other new published name; Described; Of Blake (1972). Central outcrop in Gurrumba Ring Complex. (?Formerly) included in Sundown Volcanic Group.,"Pale grey, flow-banded and autobrecciated, slightly porphyritic, rhyolite lava; extensively altered; sericite and pyrite common.; 150.00 m thick",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=7932,22
18503,Heatherdale Shale,Early Cambrian,Formal; Variation of published name; Described; Max Age: 526 (+/-) 6 Ma.,"Pyritic, calcareous shale and siltstone, containing bivalve arthropods and conocoryphid trilobites massive to flat-laminated with minor ripple-lamination, black pyritic and phosphatic shale at type section; and thin tuff bed",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=8214,22
19065,Loongana,Valanginian - Hauterivian,"Formal; Variation of published name; Redefined; Formerly included in old definition of Eucla Basin. See also variations: including Loongana Conglomerate, Loongana Sandstone, and misspelt Loongara Sandstone.","Cross-bedded feldspathic sandstone, locally conglomeratic, carbonaceous sandstone; glauconitic sandstone, siltstone, claystone and shale; commonly pyritic.",{WA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=10656,22
19117,Madura,Hauterivian - Aptian,Formal; Variation of published name; Defined; Formerly included in old definition of Eucla Basin. See also Madura Shale. Base is time transgressive. Barremian or older onshore; latest Barremian offshore. Age from sparse flora & fauna,"Carbonaceous or glauconitic sandstone, siltstone, and claystone and shale; commonly pyritic.; 474.00 m thick",{WA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=10987,22
19204,Masson,Paleoproterozoic - Orosirian,Formal; Other new published name; Defined; Replaced by Whites Formation in Rum Jungle Area. Min. age from interfingering Stag Creek Volcanics. Previously of the former Goodparla Group.,"Reddish-brown, carbonaceous-pyritic and dolomitic slate, phyllite and schist; carbonaceous pyritic dololutite; medium to coarse quartz meta-arenite, coarse to very coarse, poorly sorted feldspathic-quartz metagreywacke, fine to coarse dolarenite.; 3000.00 m thick",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=11438,22
19205,Matheson,Mesoproterozoic,Formal; Unknown or process pending; Defined; In the Glidden Basin. Glidden Group (Mesoproterozoic),"Laminated claystone, fissile laminated commonly micaceous shale and siltstone, flaggy fine and partly pyritic subgreywacke, and ferruginous feldspathic sandstone and medium grained quartz sandstone",{WA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=11444,22
19293,Millidie Creek,Orosirian,Formal; Other new published name; Defined,"Ferruginous shale and siltstone, schist, with porphyroblasts of pyrite; granular iron formation; bedded dolomite and dolomitic siltstone",{WA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=11849,22
19536,Mount Les Siltstone,Statherian,Formal; Resvd name published; Defined; Age refined by NABRE project. Discrepancy in parent group - Fickling group or McNamara Group?,"Consists of interbedded, fine-grained sandstone, siltstone and shale with occasional thin dolostone beds; shales are carbonaceous, dolomitic and pyritic, with local talus breccias.; 90.00 m thick",{QLD},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=12886,22
19610,Mount William Metabasalt,Early Cambrian,"Formal; Variation of published name; Defined; Formerly Mount William beds, and an unnamed section of the former Heathcote Greenstone. Partial equivalent to the former Mount William Group. To be replaced by Mount William Volcanics [GSVSept96]- but the metabasalt nomenclature continues to be used by GSV (PP 14/01/09). In GSV Report 129 (2009) is said to have map symbol  -Chm and includes unnamed bands of chert (-Chms) and volcaniclastic sandstone (-Chmv).","Dark green basalt, fine-gr.+ phenocrysts of plagioclase and clinopyroxene; rare pillow structures; dolerite sills, med.-coarse-grained, equigranular, plag/clinopyrox.phenocrysts; columnar jointing in some; interflow pyritic shale, etc Jasper also present.; 2500.00 m thick",{VIC},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=13220,22
19634,Muderong Shale,Early Cretaceous,Formal; Variation of published name; Defined; See also Lexicon. SG50-1.,Light to medium grey siltstone and soft pyritic mudstone.; 266.00 m thick,{WA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=13315,22
19718,Nairne Pyrite,Early Cambrian,Formal; Unknown or process pending; Described; Of Dyson et al (1996) - as part of the Talisker Calc-Siltstone. Name abandoned? Mapped and remapped with various interpretations as to its stratigraphic location within the Kanmantoo Group.,"Fine-grained, clay-rich clastic sediment with interbedded carbonate-rich bands and sedimentary pyrite; significant quartzite present east of Mount Barker - contains lenticular unit (10-15m thick) of mature, non-pyritic, parallel-laminated sandstone.; 90.00 m thick",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=13685,22
19887,Olney,Middle Eocene - Middle Miocene,Formal; Other new published name; Defined; In part lateral equivalent to Buccleuch Formation?,"Unconsolidated to poorly consol'd, thinly bedded, dark brown, grey, black carbonaceous sand, silt, clay, brown coal, peat; commonly micaceous, pyritic, ferruginised. Includes intercalations of poorly sorted, fine- to med.gr. quartz sand +polymictic sand.; 320.00 m thick",{SA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=14553,22
20110,Postmans Creek Granodiorite,Late Permian - Early Triassic,Formal; Other new published name; Defined,"Medium to coarse-grained, blue-grey rock, containing plagioclase, K-feldspar, hornblende, biotite, quartz, chlorite and disseminated pyrite. Parts are slightly porphyritic with euhedral plagioclase in a medium-grained groundmass. Hornblende is poikolitic",{NSW},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=15493,22
20157,Quamby Mudstone,Early Permian,"Formal; Variation of published name; Redefined; See also Quamby Formation, Quamby Group. See also Lexicon. Probably Sakmarian in age. Base rests on Precambrian quartzites. Part of the Lower Parmeener Supergroup.","A monotonous dark carbonaceous, pyritic and rarely micaceous mudstone with rare small pebbles and fossil debris.; 96.00 m thick",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=15719,22
20219,Renmark,Paleocene - Middle Miocene,"Formal; Variation of published name; Defined; Renmark Group underlies almost entire Murray Basin as the basal unit. Originally informally divided into 'lower' and 'upper' Renmark Beds (Harris 1966) which became the Warina Sand (lower) and Olney Formation (upper), formalised by Lawrence (1975). Correlates with the Nirranda Group and Wangerrip Group. Formerly referred to as the Knight Group (see RefID: 60599).","Fluvio-lacustrine deposits: gravel, quartz sand, silt and clay; pyritic, ferruginised, unconsolidated to poorly consolidated; minor seams of brown coal (in Victoria).; 300.00 m thick",{SA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=16036,22
20336,Saint Heliers Coal,,"Formal; Unknown or process pending; Mentioned; Of Greta Coal Measures, Sydney Basin.","Coal, a few 'floating' or ?discontinuous bands of claystone or pyrite",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=16535,22
20405,Shanahan Conglomerate,Cryogenian - Neoproterozoic,Formal; Unknown or process pending; Defined; Age: Willouran,Rounded quartzite cobbles with magnetite and pyrite-rich quartzite matrix.,{SA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=16795,22
20469,South Maslin Sand,Paleocene - Eocene,"Formal; Variation of published name; Described; See also Maslin Sands, North Maslin Sand.","Fluvial to marginal marine siliceous sand. Carbonaceous, pyritic, and glauconitic sand with goethitic pellets.; 41.00 m thick",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=17118,22
20533,Stockyard Creek Mudstone,Paleoproterozoic - Mesoproterozoic,Formal; Variation of published name; Redefined; 1981 Redefinition of Stockyard Creek Siltstone Member.,"Dark grey to black, pyritic carbonaceous mudstone; rare quartz-albite rock.; 300.00 m thick",{QLD},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=17351,22
20541,Stonyfell Quartzite,Neoproterozoic,Formal; Other new published name; Described; In Mount Lofty Ranges. See also Undalya Quartzite. Part of the Burra Group.,"Dark pyritic shales, quartzitic and sandy at base; quartzite, feldspathic, with shale interbeds; silty sandstone in part schistose and calcareous.",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=17380,22
20698,Thorntonia Limestone,Middle Cambrian,"Formal; Variation of published name; Defined; See also Lexicon. SE54-9,13. Lower part formerly the Marqua beds, and then became the Hay River Formation. Annular outcrop with ~18km diameter - the Lawn Hill impact structure coincides with its outer margin.  Age is Ordian. Unconformably overlain by Arthur Creek Formation.","Dolostone, dolomitic limestone, convoluted and nodular chert; medial pyritic-carbonaceous black shale interbeds; basal terrigenous sandstone.; 900.00 m thick",{QLD},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=18088,22
20725,Tindelpina Shale,Cryogenian,Formal; Variation of published name; Defined; Age: Sturtian. Within the Umberatana Group.,Finely laminated carbonaceous pyritic shale; minor dolomite; local conglomerate.; 80.00 m thick,{SA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=18197,22
20764,Toondi,Albian - Cenomanian,Formal; Other new published name; Defined; Age from palynomorphs. Previously included in Madura Formation.,"Siltstone, claystone and shale. Minor sandstone; commonly pyritic.",{WA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=18405,22
20779,Torrowangee,Cryogenian - Ediacaran,Formal; Unknown or process pending; Described,"Sandstone, quartzite, siltstone, shale +/- pyrite, flaggy limestone, sandy limestone, dolomite, polymictic (para)conglomerate, diamictite, pebbly siltstone/mudstone.",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=18460,22
20821,Tunkalilla,Early Cambrian - Middle Cambrian,Formal; Other new published name; Fully described; Within the Kanmantoo Group.  Not to be confused with Tunkillia Suite and its name variations - probably named for the Tunkillia Well (bore).,"Dark blue-grey, iron-stained phyllite and siltstone. Discrete beds of carbonaceous, sulphidic phyllite with pyrite moulds. Erosional base with phyllite chip conglomerate and conglomerate beds.; 250.00 m thick",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=18694,22
20859,Undalya Quartzite,Neoproterozoic,Formal; Unknown or process pending; Fully described; Lenticular unit east of Burra; lenses out completely further east in the Nackara Arc.,"Well bedded medium-grained white to cream, feldspathic quartzite with interbedded  sandy carbonaceous pyritic shale; regional variations include laminated greenish to brownish sandy dolomite.; 300.00 m thick",{SA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=18822,22
20876,Urquhart Shale,Statherian,Formal; Variation of published name; Defined; Hosts the Mount Isa and George Fisher Zn-Pb-Ag(-Cu) mineralisations.,"Carbonaceous, pyritic and dolomitic siltstones; tuffaceous horizons. Rhythmically laminated clastic and carbonate facies. Metamorphosed to greenschist facies.",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=19007,22
20895,Velkerri,Calymmian,"Formal; Other new published name; Defined; Formerly the lower part of the now abandoned Cobanbirini Fm (of Paine, 1963 and Smith, 1964).  Now assigned to redefined Maiwok Subgroup (Roper River). Oldest petroleum source rock in the beetaloo Sub-basin. Various studies have based their interpretation of this unit on a tripartite subdivision of organic-rich sub-units, i.e. 3 unnamed members.","Grey and black (carbonaceous) mudstone and siltstone, and minor fine sandstone.  Rocks are laminated, but intervals that are structureless or characterised by abundant convoluted laminae are common.  Calcite nodules and veins, and pyrite are present.; 330.00 m thick",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=19074,22
20959,Wangarlu,Albian - Maastrichtian,Formal; Other new published name; Defined; Age: ~104-~65Ma.,"Kaolinitic mudstone, siltstone, commonly radiolaria-rich, montmorillonitic when fresh; minor silty claystone, sublabile sandstone; scattered nodular pyrite.; 2000.00 m thick",{WA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=19392,22
20972,Warbisco Shale,Sandbian - Hirnantian,"Formal; Resvd name published; Defined; MURRINDAL area. Geological Survey of Victoria map code: Obw. In the Girilambone-Wagga Terrane. Represented by Currawalla Shale in NSW. In Percival et al, 2011, QN137, p16, Foxlow beds have been replaced by Warbisco Shale (RefID 67322).","Black, laminated to medium-bedded pyritic carbonaceous shale, commonly strongly foliated and folded; minor quartzose sandstone.; 500.00 m thick",{NSW},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=19441,22
21164,Wirara,Cryogenian - Ediacaran,Formal; Unknown or process pending; Defined; Age: c.610Ma. In the Louisa Basin.,"Green to grey fissile to thinly flaggy laminated shale and siltstone with pyrite in places, purple siltstone, and green and purple sandstone interbeds",{WA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=20285,22
21219,Woody Island Siltstone,Asselian - Sakmarian,"Formal; Variation of published name; Fully described; See also Woody Island Formation -  both names used interchangeably throughout 2000 Bulletin 71 (TGS) - The petroleum potential of onshore Tasmania: a review.  Age: Tamarian (GSA Special Publication 15, 1989, p296).","Carbonaceous pyritic siltstone passing up into richly fossiliferous siltstone, sandstone and minor limestone.",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=20535,22
21225,Woollybutt Quartz Monzodiorite,Wenlock - Devonian,"Formal; Other new published name; Briefly described; G53. Age and lithology updated from GSV data (HG, Dec 2005)",Actinolitic quartz monzodiorite: porphyritic; medium grained; dark green; pyritic; I-type.,,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=20558,22
21370,Beaufort,Cambrian,Formal; Resvd name published; Fully described,"Marine turbiditic interbedded siltstone & mudstone with minor sandstone; mudstone is thin-bedded, pyritic; slightly higher regional magnetic response than other sediments; gravity response mostly moderate to high; high K, moderate to high Th, U.; 1500.00 m thick",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=21209,22
21589,Mariginiup,Valanginian - Barremian,Formal; Resvd name published; Defined; Onshore Perth Basin unit. Notified by A.Davidson 28-NOV-94,"Thinly interbedded and discontinuous grey to black siltstones and shales, minor very thin beds of mostly fine-grained sandstone; predominantly marine; commonly glauconitic, micaceous, locally fossiliferous; variably pyritic or calcareous cemented.; 250.00 m thick",{WA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=22264,22
21647,Pando,Early Cambrian - Early Ordovician,"Formal; Resvd name published; Redefined; Strzelecki 1:250 000 sheet SH54-2. Warburton Basin. Age: determined from burrows See Strzelecki 1:250k explan notes (1995) for type section location and details of age  NB: Base of unit has not been penetrated in the type section, the thickest intersection is 246 m in Moolalla 1. Early Cambrian age indicated by conformable (interfingering) relationship with overlying Mooracoochie Volcs, which have U-Pb zircon age of 517 +/- 9 Ma (A.J.Stewart Aug 2010)","Sandstone, grey-buff-pale green, fine- to coarse-grained with abundant glauconite and detrital zircon. The sandstone is bioturbated with penetrative burrows resembling Chondrites. Interbeds of grey-buff slightly pyritic siltstone occur.; 246.00 m thick",{SA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=22621,22
21810,Awring Granodiorite,Early Permian,Formal; Unknown or process pending; Described; Formerly included in the Esmeralda Granite.,"Hornblende-biotite granodiorite, biotite granodiorite to tonalite, fine biotite leucogranodiorite; altered in part, some disseminated chalcopyrite.",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=23348,22
21859,Boullanger,Sakmarian,Formal; Other new published name; Defined; Age: Lower Bernacchian (GSA Special Publication 15 p302),"Non-marine beds consisting mainly of dark, carbonaceous, micaceous and pyritic mudstone with subordinate lighter-coloured, flaser-bedded siltstone with much bioturbation and abundant hydroplastic structures.",{TAS},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=23412,22
21895,Caranbirini,Statherian,Formal; Resvd name published; Fully described,"Thin bedded mudstone and dolomitic mudstone, partly carbonaceous and pyritic.; 200.00 m thick",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=23467,22
21918,Con Bore Granite,Calymmian,Formal; Resvd name published; Defined,"Mostly non-porphyritic, greyish, partly granophyric, fine- to coarse-grained biotite granite; accessory fluorite, apatite, tourmaline, pyrite, and chalcopyrite",{SA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=23499,22
21983,Fabian Quartzite,Paleoproterozoic,Formal; Unknown or process pending; Fully described,"Contains thin, laminated carbonates (stromatolites), overlain by thin- to thick-bedded, well-sorted quartzite and carbonaceous, pyritic, micaceous quartzite.",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=23585,22
22249,Saint Arnaud,Cambrian - Ordovician,Formal; Variation of published name; Fully described; VandenBerg and Wilkinson 1982 (as St Arnaud Beds); described in Cayley and McDonald 1995 (as Saint Arnaud Group); occurs here (RefID 66002 = VandenBerg 2009) as St Arnaud Group.,"Marine turbiditic interbedded siltstone and mudstone with minor sandstone; mudstone is thin bedded, pyritic and rich in carbonaceous matter; mostly highly deformed and contact metamorphosed. (article: 60462).; 4000.00 m thick",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=23952,22
22284,Sullivan Shale,Paleoproterozoic,"Formal; Unknown or process pending; Described; Includes water laid tuff with age of 1656+/- 7 Ma (Fanning, 1990, Daly, 1993)","Carbonaceous, pyritic, micaceous, thin-bedded quartzite and siltstone and tuff",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=23998,22
22372,Yandagooge,Paleoproterozoic - Mesoproterozoic,"Formal; Resvd name published; Described; Older part of the Rudall Complex. Hosts the Kintyre uranium deposit. Median age for uraninite in the Kintyre deposit  837 +/- 31-35 Ma which is best interpreted as reconnaissance-level age determination. This age is in good agreement with the ca 845 Ma estimate for the deposit (Maas unpublished, cited Huston et al. 2009) (RefID 67182).","Pelitic to semi-pelitic quartz-mica schist, hematite-biotite schist, muscovite quartzite, quartzite, with local psammitic gneiss, pyritic graphite schist, chert, and metamorphosed banded iron formation; 1500.00 m thick",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=24134,22
22396,Baleine,Tithonian - Neocomian,Formal; Resvd name published; Defined,"Chiefly claystone, grey, silty to arenaceous, common traces of glauconite as high as 10% and traces of mica and pyrite.  Towards the east the upper part is interbedded sandstone and siltstone.; 1000.00 m thick",{WA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=24169,22
22457,Dullingari,Middle Cambrian - Middle Ordovician,"Formal; Resvd name published; Defined; Age revised Nov 1999 by D. Gravestock &  X-W. Sun. Age based on graptolites in shale. Informally divided into upper and lower Dullingari Group but no separate formations have been defined, see Strzelecki 1:250k explan notes (1995).","The type section is dominantly a shale section, with minor siltstone; pyrite is a major accessory mineral with dolomite and calcite. Includes black shales with rare graptolites.; 774.00 m thick",{SA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=24255,22
22651,Wanapi Dolomite,Neoproterozoic,Formal; Resvd name published; Defined,"Fine-grained, pink laminated dolomite containing pyrite holomorphs and manganese staining.; 3.00 m thick",{NT},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=24554,22
22663,Whites,Siderian - Orosirian,Formal; Resvd name published; Defined; Defn card for Whites Formation. Published as Whites Member and Whites Formation 83/23944. Replaces Masson Formation in Rum Jungle Area. See also misspelt White's Formation.,"Calcareous and carbonaceous pyritic mudstone/siltstone, dolomitic mudstone, rare quartzite.; 1000.00 m thick",{NT},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=24572,22
22764,Cowrie Siltstone,Neoproterozoic,"Formal; Other new published name; Described; Of Spry, 1957; Gee, 1968, and later. Includes White Quartzite Stage. Age poorly constrained by age of dolerite dykes intrusions (K/Ar 600+/-8Ma), and biostratigraphy and isotope chemostratigraphy of overlying Black River Dolomite (~750-650 Ma).",Black pyritic shale with interbedded siltstone; laminated.; 2450.00 m thick,{TAS},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=24886,22
22791,Glenronald Shale,Late Cambrian,Formal; Variation of published name; Defined; Defined by Buckland (1986) as Member of Fairview Andesitic (sic) Breccia; this latter unit has been renamed the Fairview Andesite (sic) Breccia (VandenBerg 2009).,"Laminated black pyritic shale, volcanic siltstone, minor chert",{VIC},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=25015,22
22801,Inglis Siltstone,Early Permian,"Formal; Other new published name; Described; See also Mount Inglis Sandstone, Inglis Formation.  Age: Tamarian Stage of Rekunian Series.","Dominantly medium to dark grey, poorly bedded siltstone, mudstone and fine-grained sandstone, typically with cuboidal fracture; locally micaceous or pyritic.  More sandy and with marine fossils towards the top of the unit.",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=25077,22
