,Location,Age.Ma,clusters,count,perc,Lat,Long,Phrase,Source,Notes
70,"Browse Basin, Aus",145,Type.4,3,0.1875,-14.8225298,122.5561343,Browse Basin,http://www.ga.gov.au/scientific-topics/energy/province-sedimentary-basin-geology/petroleum/offshore-northwest-australia/browse,NA
71,"Buck Reef, South Africa",3416,Type.5,5,0.0625,-25.7750414,31.0419625,Near Barberton,Google Earth,NA
72,"Buck Reef, South Africa",3416,Type.2,43,0.5375,-25.7750414,31.0419625,Near Barberton,Google Earth,NA
73,"Buck Reef, South Africa",3416,Type.1,18,0.225,-25.7750414,31.0419625,Near Barberton,Google Earth,NA
74,"Buck Reef, South Africa",3416,Type.3,3,0.0375,-25.7750414,31.0419625,Near Barberton,Google Earth,NA
75,"Buck Reef, South Africa",3416,Type.4,11,0.1375,-25.7750414,31.0419625,Near Barberton,Google Earth,NA
76,Campbell R. Canada,83,Type.3,19,0.76,50.0109455,-125.3010675,Campbell River,Google Earth,NA
77,Campbell R. Canada,83,Type.4,6,0.24,50.0109455,-125.3010675,Campbell River,Google Earth,NA
78,Canarvon Basin Aus.,125,Type.1,3,0.176470588,-20.5228064,118.4703418,Carnarvon Basin,Google Earth,NA
79,Canarvon Basin Aus.,125,Type.3,14,0.823529412,-20.5228064,118.4703418,Carnarvon Basin,Google Earth,NA
80,"Canning Basin, Aus.",338,Type.1,5,0.833333333,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
81,"Canning Basin, Aus.",338,Type.3,1,0.166666667,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
82,"Canning Basin, Aus.",339,Type.1,8,0.888888889,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
83,"Canning Basin, Aus.",339,Type.3,1,0.111111111,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
84,"Canning Basin, Aus.",340,Type.1,5,0.185185185,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
85,"Canning Basin, Aus.",340,Type.3,17,0.62962963,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
86,"Canning Basin, Aus.",340,Type.4,5,0.185185185,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
87,"Canning Basin, Aus.",349,Type.1,1,0.333333333,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
88,"Canning Basin, Aus.",349,Type.3,2,0.666666667,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
89,"Canning Basin, Aus.",350,Type.1,2,0.333333333,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
90,"Canning Basin, Aus.",350,Type.3,4,0.666666667,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
91,"Canning Basin, Aus.",352,Type.1,1,0.111111111,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
92,"Canning Basin, Aus.",352,Type.3,8,0.888888889,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
93,"Canning Basin, Aus.",355,Type.5,31,0.455882353,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
94,"Canning Basin, Aus.",355,Type.3,23,0.338235294,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
95,"Canning Basin, Aus.",355,Type.4,14,0.205882353,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
96,"Canning Basin, Aus.",356,Type.1,1,0.333333333,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
97,"Canning Basin, Aus.",356,Type.3,2,0.666666667,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
98,"Canning Basin, Aus.",357,Type.1,8,0.19047619,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
99,"Canning Basin, Aus.",357,Type.3,17,0.404761905,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
100,"Canning Basin, Aus.",357,Type.4,17,0.404761905,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
101,"Canning Basin, Aus.",359,Type.1,37,0.902439024,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
102,"Canning Basin, Aus.",359,Type.3,4,0.097560976,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
103,"Canning Basin, Aus.",365,Type.3,25,1,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
104,"Canning Basin, Aus.",366,Type.1,7,0.4375,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
105,"Canning Basin, Aus.",366,Type.3,9,0.5625,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
106,"Canning Basin, Aus.",368,Type.3,7,1,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
107,"Canning Basin, Aus.",370,Type.2,1,0.041666667,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
108,"Canning Basin, Aus.",370,Type.1,5,0.208333333,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
109,"Canning Basin, Aus.",370,Type.3,18,0.75,-18.5956725,124.3895127,Canning Basin,Google Earth,NA
110,Cariaco basin,0.1,Type.5,34,1,10.4957903,-64.3401337,Cariaco Basin,Google Earth,NA
111,Cleverville Fm. Aus,3020,Type.2,3,0.036144578,-20.6748977,117.1482407,Near Wickham (and Cleaverville),Google Earth,NA
112,Cleverville Fm. Aus,3020,Type.1,66,0.795180723,-20.6748977,117.1482407,Near Wickham (and Cleaverville),Google Earth,NA
113,Cleverville Fm. Aus,3020,Type.3,14,0.168674699,-20.6748977,117.1482407,Near Wickham (and Cleaverville),Google Earth,NA
114,Dial Ra. Aus.,540,Type.1,2,0.105263158,-41.1999995,146.0333333,Dial Range,Google Earth,NA
115,Dial Ra. Aus.,540,Type.3,12,0.631578947,-41.1999995,146.0333333,Dial Range,Google Earth,NA
116,Dial Ra. Aus.,540,Type.4,5,0.263157895,-41.1999995,146.0333333,Dial Range,Google Earth,NA
117,"Dixon Is. Fm., Aus.",3200,Type.2,6,0.162162162,-20.6274482,117.0633034,Dixon Island,Google Earth,NA
118,"Dixon Is. Fm., Aus.",3200,Type.1,24,0.648648649,-20.6274482,117.0633034,Dixon Island,Google Earth,NA
119,"Dixon Is. Fm., Aus.",3200,Type.4,7,0.189189189,-20.6274482,117.0633034,Dixon Island,Google Earth,NA
120,"Doushantou Fm, China",540,Type.2,2,0.2,28.288772,108.590222,Doushantou,SGP,NA
121,"Doushantou Fm, China",540,Type.1,3,0.3,28.288772,108.590222,Doushantou,SGP,NA
122,"Doushantou Fm, China",540,Type.3,5,0.5,28.288772,108.590222,Doushantou,SGP,NA
123,"Doushantou Fm, China",560,Type.1,5,0.217391304,28.288772,108.590222,Doushantou,SGP,NA
124,"Doushantou Fm, China",560,Type.3,6,0.260869565,28.288772,108.590222,Doushantou,SGP,NA
125,"Doushantou Fm, China",560,Type.4,12,0.52173913,28.288772,108.590222,Doushantou,SGP,NA
126,"Doushantou Fm, China",570,Type.3,1,0.2,28.288772,108.590222,Doushantou,SGP,NA
127,"Doushantou Fm, China",570,Type.4,4,0.8,28.288772,108.590222,Doushantou,SGP,NA
128,"Doushantou Fm, China",578,Type.1,2,0.25,28.288772,108.590222,Doushantou,SGP,NA
129,"Doushantou Fm, China",578,Type.4,6,0.75,28.288772,108.590222,Doushantou,SGP,NA
130,"Doushantou Fm, China",590,Type.3,9,1,28.288772,108.590222,Doushantou,SGP,NA
131,"Doushantou Fm, China",605,Type.3,10,1,28.288772,108.590222,Doushantou,SGP,NA
132,"Doushantou Fm, China",615,Type.1,5,0.625,28.288772,108.590222,Doushantou,SGP,NA
133,"Doushantou Fm, China",615,Type.3,3,0.375,28.288772,108.590222,Doushantou,SGP,NA
134,"Doushantou Fm, China",620,Type.1,5,0.625,28.288772,108.590222,Doushantou,SGP,NA
135,"Doushantou Fm, China",620,Type.3,1,0.125,28.288772,108.590222,Doushantou,SGP,NA
136,"Doushantou Fm, China",620,Type.4,2,0.25,28.288772,108.590222,Doushantou,SGP,NA
137,"Doushantou Fm, China",628.3,Type.1,10,1,28.288772,108.590222,Doushantou,SGP,NA
138,"Doushantou Fm, China",633,Type.1,1,0.142857143,28.288772,108.590222,Doushantou,SGP,NA
139,"Doushantou Fm, China",633,Type.3,6,0.857142857,28.288772,108.590222,Doushantou,SGP,NA
140,"Doushantou Fm, China",635,Type.2,1,0.1,28.288772,108.590222,Doushantou,SGP,NA
141,"Doushantou Fm, China",635,Type.1,7,0.7,28.288772,108.590222,Doushantou,SGP,NA
142,"Doushantou Fm, China",635,Type.3,2,0.2,28.288772,108.590222,Doushantou,SGP,NA
143,"Doushantou Fm, China",637,Type.5,5,0.5,28.288772,108.590222,Doushantou,SGP,NA
144,"Doushantou Fm, China",637,Type.3,5,0.5,28.288772,108.590222,Doushantou,SGP,NA
145,"Fife, Scotland",331,Type.3,9,0.818181818,56.2296582,-3.1421098,Fife,Google Earth,NA
146,"Fife, Scotland",331,Type.4,2,0.181818182,56.2296582,-3.1421098,Fife,Google Earth,NA
147,"Fuizhou, S. China",523,Type.5,13,1,26.9197484,106.5995972,Taken as Guizhou,Google Earth,NA
148,"Georgina Basin, Aus",500,Type.3,8,1,-19.669889,140.4333335,Georgina Basin,Google Earth,NA
149,"Georgina Basin, Aus",501,Type.2,1,0.125,-19.669889,140.4333335,Georgina Basin,Google Earth,NA
150,"Georgina Basin, Aus",501,Type.3,7,0.875,-19.669889,140.4333335,Georgina Basin,Google Earth,NA
151,"Georgina Basin, Aus",504,Type.5,4,0.571428571,-19.669889,140.4333335,Georgina Basin,Google Earth,NA
152,"Georgina Basin, Aus",504,Type.2,3,0.428571429,-19.669889,140.4333335,Georgina Basin,Google Earth,NA
153,"Georgina Basin, Aus",505,Type.5,1,0.142857143,-19.669889,140.4333335,Georgina Basin,Google Earth,NA
154,"Georgina Basin, Aus",505,Type.2,5,0.714285714,-19.669889,140.4333335,Georgina Basin,Google Earth,NA
155,"Georgina Basin, Aus",505,Type.3,1,0.142857143,-19.669889,140.4333335,Georgina Basin,Google Earth,NA
156,"Georgina Basin, Aus",506,Type.5,1,0.2,-19.669889,140.4333335,Georgina Basin,Google Earth,NA
157,"Georgina Basin, Aus",506,Type.3,3,0.6,-19.669889,140.4333335,Georgina Basin,Google Earth,NA
158,"Georgina Basin, Aus",506,Type.4,1,0.2,-19.669889,140.4333335,Georgina Basin,Google Earth,NA
159,"Georgina Basin, Aus",507,Type.5,7,1,-19.669889,140.4333335,Georgina Basin,Google Earth,NA
160,"Georgina Basin, Aus",508,Type.5,8,1,-19.669889,140.4333335,Georgina Basin,Google Earth,NA
161,"Georgina Basin, Aus",509,Type.3,7,1,-19.669889,140.4333335,Georgina Basin,Google Earth,NA
162,"Georgina Basin, Aus",510,Type.5,17,1,-19.669889,140.4333335,Georgina Basin,Google Earth,NA
163,"Georgina Basin, Aus",512,Type.3,16,1,-19.669889,140.4333335,Georgina Basin,Google Earth,NA
164,"Great Basin, USA",350,Type.3,6,0.136363636,38.6905556,-113.4477778,Great Basin,SGP,NA
165,"Great Basin, USA",350,Type.4,38,0.863636364,38.6905556,-113.4477778,Great Basin,SGP,NA
166,"Great Basin, USA",355,Type.4,18,1,38.6905556,-113.4477778,Great Basin,SGP,NA
167,"Great Basin, USA",390,Type.5,15,1,38.6905556,-113.4477778,Great Basin,SGP,NA
168,"Great Basin, USA",395,Type.5,15,1,38.6905556,-113.4477778,Great Basin,SGP,NA
169,"Great Basin, USA",400,Type.5,14,1,38.6905556,-113.4477778,Great Basin,SGP,NA
170,"Great Basin, USA",410,Type.3,8,1,38.6905556,-113.4477778,Great Basin,SGP,NA
171,"Great Basin, USA",415,Type.5,16,1,38.6905556,-113.4477778,Great Basin,SGP,NA
172,"Great Basin, USA",416,Type.3,8,1,38.6905556,-113.4477778,Great Basin,SGP,NA
173,"Great Basin, USA",420,Type.5,3,0.176470588,38.6905556,-113.4477778,Great Basin,SGP,NA
174,"Great Basin, USA",420,Type.2,10,0.588235294,38.6905556,-113.4477778,Great Basin,SGP,NA
175,"Great Basin, USA",420,Type.4,4,0.235294118,38.6905556,-113.4477778,Great Basin,SGP,NA
176,"Heath Shale, USA",333,Type.5,16,1,46.63333,-109.13333,Heath Shale,SGP,NA
177,"Huronian, Canada",2300,Type.1,8,1,46.6284214,-81.3878728,"North of Huron Lake, taken near Espanola",Google Earth,NA
178,Hushpuckney Sh. USA,305,Type.5,14,1,39.13,-94.89,Hushpuckney Shale,SGP,NA
179,"Jerinah Fm, pilbara, Aus.",2660,Type.2,37,0.544117647,-22.2277276,118.2746029,Near Wittenoom,Google Earth,NA
180,"Jerinah Fm, pilbara, Aus.",2660,Type.1,22,0.323529412,-22.2277276,118.2746029,Near Wittenoom,Google Earth,NA
181,"Jerinah Fm, pilbara, Aus.",2660,Type.3,1,0.014705882,-22.2277276,118.2746029,Near Wittenoom,Google Earth,NA
182,"Jerinah Fm, pilbara, Aus.",2660,Type.4,8,0.117647059,-22.2277276,118.2746029,Near Wittenoom,Google Earth,NA
183,"Kalgoolie, Aus.",2685,Type.2,7,0.777777778,-30.7530899,121.4645704,Near Kalgoorlie,Google Earth,NA
184,"Kalgoolie, Aus.",2685,Type.1,1,0.111111111,-30.7530899,121.4645704,Near Kalgoorlie,Google Earth,NA
185,"Kalgoolie, Aus.",2685,Type.4,1,0.111111111,-30.7530899,121.4645704,Near Kalgoorlie,Google Earth,NA
186,"Kasmovian Shale, USA",304,Type.5,1,1,37.188289,-109.953348,"Location unclear. Taken as Kasimovian, USA entry listed in SGP",SGP,NA
187,"Kasmovian Shale, USA",304.5,Type.5,1,1,37.188289,-109.953348,"Location unclear. Taken as Kasimovian, USA entry listed in SGP",SGP,NA
188,King Is. Aus.,650,Type.1,10,1,-39.8686304,143.9857663,King Island,Google Earth,NA
189,"Kure, Turkey",190,Type.1,19,0.95,41.8044624,33.6632355,Kure,Google Earth,NA
190,"Kure, Turkey",190,Type.3,1,0.05,41.8044624,33.6632355,Kure,Google Earth,NA
191,"Lillian Fm, WA",1039,Type.2,2,0.222222222,-25.4464054,128.6714649,"Taken as Lilian Fm, Bentley Basin from Geoscience Australia lexicon",Google Earth,NA
192,"Lillian Fm, WA",1039,Type.3,7,0.777777778,-25.4464054,128.6714649,"Taken as Lilian Fm, Bentley Basin from Geoscience Australia lexicon",Google Earth,NA
193,"Lillian Fm, WA",1041,Type.2,2,0.2,-25.4464054,128.6714649,"Taken as Lilian Fm, Bentley Basin from Geoscience Australia lexicon",Google Earth,NA
194,"Lillian Fm, WA",1041,Type.1,8,0.8,-25.4464054,128.6714649,"Taken as Lilian Fm, Bentley Basin from Geoscience Australia lexicon",Google Earth,NA
195,"Lillian Fm, WA",1042,Type.1,25,1,-25.4464054,128.6714649,"Taken as Lilian Fm, Bentley Basin from Geoscience Australia lexicon",Google Earth,NA
196,"Lillian Fm, WA",1045,Type.1,10,1,-25.4464054,128.6714649,"Taken as Lilian Fm, Bentley Basin from Geoscience Australia lexicon",Google Earth,NA
197,Linton Fm. USA,308,Type.5,7,1,39.03478,-87.157522,Near Linton,Google Earth,NA
198,Lisburne Fm. USA,328,Type.5,22,1,68.8811108,-166.21,Near Cape Lisburne,Google Earth,NA
199,"McArthur Basin, Aus",1730,Type.2,8,1,-16.0697379,136.3086189,Near Borroola,Google Earth,NA
200,Mecca Quy. Shale USA,307,Type.5,8,1,39.7270699,-87.3319715,"Near Mecca, Indiana",Google Earth,NA
201,Mecca Quy. Shale USA,310,Type.5,8,1,39.7270699,-87.3319715,"Near Mecca, Indiana",Google Earth,NA
202,"Meidang Basin, S China",980,Type.1,53,1,25.1825482,101.8628502,"Taken as part of Kunyang Group, Yunnan",Google Earth,NA
203,"Moffat Shale, Scotland",444,Type.5,6,0.857142857,55.3329763,-3.4400749,Near Moffat,Google Earth,NA
204,"Moffat Shale, Scotland",444,Type.3,1,0.142857143,55.3329763,-3.4400749,Near Moffat,Google Earth,NA
205,"Mt McRae Shale, Aus",2541,Type.2,16,0.551724138,-22.2277276,118.2746029,Near Wittenoom,Google Earth,NA
206,"Mt McRae Shale, Aus",2541,Type.1,13,0.448275862,-22.2277276,118.2746029,Near Wittenoom,Google Earth,NA
207,"Mt McRae Shale, Aus.",2504,Type.2,12,0.210526316,-22.2277276,118.2746029,Near Wittenoom,Google Earth,NA
208,"Mt McRae Shale, Aus.",2504,Type.1,24,0.421052632,-22.2277276,118.2746029,Near Wittenoom,Google Earth,NA
209,"Mt McRae Shale, Aus.",2504,Type.3,21,0.368421053,-22.2277276,118.2746029,Near Wittenoom,Google Earth,NA
210,Mwasha Gp. Zambia,715,Type.2,2,0.142857143,-9.2269237,26.2580166,Location unclear. Taken as Katanga for Katangan Supergroup,Google Earth,NA
211,Mwasha Gp. Zambia,715,Type.1,12,0.857142857,-9.2269237,26.2580166,Location unclear. Taken as Katanga for Katangan Supergroup,Google Earth,NA
212,"Nth. West Shelf, Aus.",202,Type.4,15,1,-20.1326602,116.7975829,"Northwest shelf, near Dampier",Google Earth,NA
213,"NW. Tasmania, Aus",637,Type.3,15,1,-40.8453519,145.1365296,Taken as Smithton,Google Earth,NA
214,"NW. Tasmania, Aus.",640,Type.3,18,1,-40.8453519,145.1365296,Taken as Smithton,Google Earth,NA
215,"Officer Basin, Aus.",760,Type.3,65,0.970149254,-28.6733175,127.1904985,Taken south of Warburton,Google Earth,NA
216,"Officer Basin, Aus.",760,Type.4,2,0.029850746,-28.6733175,127.1904985,Taken south of Warburton,Google Earth,NA
217,"Officer Basin, Aus.",780,Type.3,2,1,-28.6733175,127.1904985,Taken south of Warburton,Google Earth,NA
218,"OIDP302, Arctic Ocean",53,Type.5,4,0.333333333,74.9999997,174.9999999,Lomonosov Ridge,Google Earth,NA
219,"OIDP302, Arctic Ocean",53,Type.2,2,0.166666667,74.9999997,174.9999999,Lomonosov Ridge,Google Earth,NA
220,"OIDP302, Arctic Ocean",53,Type.3,6,0.5,74.9999997,174.9999999,Lomonosov Ridge,Google Earth,NA
221,"OIDP302, Arctic Ocean",56,Type.2,2,0.4,74.9999997,174.9999999,Lomonosov Ridge,Google Earth,NA
222,"OIDP302, Arctic Ocean",56,Type.3,3,0.6,74.9999997,174.9999999,Lomonosov Ridge,Google Earth,NA
223,"Otago basin, N.Z.",250,Type.1,6,0.857142857,-45.3973949,169.7615971,Taken as region of Otago,Google Earth,NA
224,"Otago basin, N.Z.",250,Type.3,1,0.142857143,-45.3973949,169.7615971,Taken as region of Otago,Google Earth,NA
225,Otway basin. Aus.,91,Type.2,1,0.076923077,-38.3786543,142.4767053,"NW of Otway Ranges, near Warrnambool",Google Earth,NA
